AID, S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,-0.71,0.71
4,0.2,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.71,0.71
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
4,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.26,-0.97
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,-1
5,0,0,0,0,0.75,0,0,0,0,0,0,0,0.25,0,0.26,-0.97
5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.26,-0.97
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
1,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0.71,-0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,-0.26
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,-0.26
1,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0.3,1,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,0.71,0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71,0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71,0.71
1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,0,0.33,0,0,0,0,0,0,0.67,0,-0.71,0.71
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.71,-0.71
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.71,-0.71
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.87,-0.5
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.87,-0.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.87,-0.5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26,0.97
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26,0.97
4,0,0,0,0,0.5,0.17,0,0,0,0,0,0,0.33,0,-0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,-0.5,0.87
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5,0.87
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5,0.87
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
6,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.26,-0.97
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0.17,0.67,0,0,0,0,0,0.17,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.26,0.97
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.26,0.97
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.26,0.97
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,0,0.14,0,0,0,0,0,0,0.86,0,-0.71,0.71
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.71,0.71
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.71,-0.71
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.71,-0.71
1,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0.97,-0.26
1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.4,-0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,0.87
4,0,0,0,0,0.33,0.33,0,0,0,0,0,0,0.33,0,-0.87,0.5
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,0.26,-0.97
5,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0.2,0,0.2,0,0,0,0,0.6,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.26,-0.97
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,-0.97
5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.26,-0.97
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.87,-0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.87,-0.5
1,0,0.25,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0.5,-0.87
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,-0.87
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,-0.87
5,0,0,0,0,0,0.33,0,0,0,0.67,0,0,0,0,0.5,-0.87
1,0,0,0.8,0,0,0,0,0,0.2,0,0,0,0,0,0.71,-0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.87,-0.5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.87,-0.5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.87,-0.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
4,0,0,0,0,0.29,0.29,0,0,0,0,0,0,0.43,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
1,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
6,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,0,1
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,0.33,0.17,0,0,0,0,0,0,0.5,0,-0.71,0.71
2,0,0.67,0.33,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.26,-0.97
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.87
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,-0.87
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
1,0,0,0.25,0,0,0,0,0,0.75,0,0,0,0,0,0.97,-0.26
3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.97,-0.26
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.87
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
4,0,0,0,0,0.71,0.14,0,0,0,0,0.14,0,0,0,-0.71,0.71
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.71,0.71
4,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,-0.71,0.71
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.71,0.71
1,0,0.33,0.33,0,0,0,0,0,0.33,0,0,0,0,0,-0.71,0.71
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,-1
5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
5,0,0,0,0,0,0.33,0,0,0,0,0,0,0.67,0,0,-1
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.26,-0.97
6,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0.71,-0.71
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.87,-0.5
1,0,0.6,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.87,-0.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.97,-0.26
3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.97,-0.26
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.97,-0.26
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.26,0.97
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.26,0.97
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.5,0.87
4,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0.4,0,-0.5,0.87
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.71,0.71
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.97,0.26
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.71
1,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0.71,0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71,0.71
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71,0.71
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
1,0,0.14,0.43,0,0,0,0,0,0.43,0,0,0,0,0,-0.5,0.87
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.87,0.5
4,0,0,0,0,0,0,0,0.67,0,0,0.33,0,0,0,-0.87,0.5
4,0,0,0,0,0,0.33,0,0,0,0.67,0,0,0,0,-0.87,0.5
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.87,0.5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0.26
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0.26
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0.26
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.97,0.26
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.97,0.26
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.97,0.26
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0.67,0,0,0,0,0,0.33,0,0,0,0,0,-0.5,0.87
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
1,0,0.33,0.33,0,0,0,0,0,0.33,0,0,0,0,0,-0.5,0.87
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.87
4,0,0.14,0,0,0.43,0.14,0,0,0,0,0,0,0.29,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.71,0.71
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.87,0.5
